	new_part_id	participant_id	group_num	background	kernel1	bandwidth1	metric1	min_hotspots1	max_hotspots1	min_circles1	max_circles1	kernel2	bandwidth2	metric2	min_hotspots2	max_hotspots2	min_circles2	max_circles2	kernel3	bandwidth3	metric3	min_hotspots3	max_hotspots3	min_circles3	max_circles3	StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q51_1	Q2_1	Q3_1	Q4_1	Q5_1	Q6_1	Q7_1	Q9	Q10	Q11	Q12	Q13	Q14	Q15	Q16	Q17	Q18	Q19	Q20	Q21	Q22	Q23	Q25	Q26	Q27_1	Q27_2	Q27_3	Q28_1	Q28_2	Q28_3	Q29	Q30_1	Q31	Q32	Q32_9_TEXT	Q33	Q33_9_TEXT	Q34	Q35	Q36	Q37	Q37_5_TEXT	Q38	Q39	Q40	Q41	Q42	Q43	Q44_1	Q45	Q46	Q51_1 - Sentiment	Q51_1 - Sentiment Score	Q51_1 - Sentiment Polarity	Q51_1 - Topics
26	27	30	1	none	gaussian	0.005	euclidean	5	8	23	40	gaussian	0.005	euclidean	7	10	13	19	gaussian	0.005	euclidean	8	15	9	18	2019-06-18 10:23:06	2019-06-18 10:49:00	IP Address	134.48.163.210	100.0	1553.0	True	2019-06-18 10:49:01	R_27882mSrjxTnpZA					43.0388946533	-87.90650177	anonymous	EN	30.0	13.0	2.0	10.0	11.0	13.0	15.0	Mental Demand	Frustration	Mental Demand	Temporal Demand	Effort	Frustration	Effort	Performance	Temporal Demand	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat unfamiliar	Neither well nor poorly	Somewhat well	Very well	Very useful	Somewhat useful	Very useful	Neither	20.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Student	Not currently employed		Less than $25,000	No	Yes	Yes	Somewhat agree	Somewhat disagree	5.0	Neutral	Fiscally Liberal	Neutral	0.0	0.0	Unknown
27	28	31	1	none	gaussian	0.005	euclidean	10	15	10	15	gaussian	0.005	euclidean	8	15	10	15	gaussian	0.005	euclidean	10	20	15	30	2019-06-18 15:13:51	2019-06-18 15:54:12	IP Address	134.48.163.210	100.0	2420.0	True	2019-06-18 15:54:12	R_1d6av4naxbHCYF9					43.0388946533	-87.90650177	anonymous	EN	31.0	12.0	3.0	2.0	7.0	10.0	6.0	Mental Demand	Frustration	Performance	Frustration	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Frustration	Performance	Effort	Mental Demand	Mental Demand	Somewhat unfamiliar	Somewhat unfamiliar	Very poorly	Somewhat poorly	Somewhat well	Somewhat useless	Somewhat useless	Somewhat useful	MPD	30.0	No	White		Female		Bachelor's degree	Unmarried/Single	Part-time employment	Non-profit, tax-exempt, or charitable organization		Less than $25,000	No	Yes	Yes	Disagree	Disagree	0.0	Libertarian	Fiscally Liberal	Neutral	0.0	0.0	Unknown
28	29	32	2	tech	gaussian	0.005	euclidean	11	17	49	57	gaussian	0.005	euclidean	8	17	53	60	gaussian	0.005	euclidean	11	14	36	49	2019-06-19 14:53:48	2019-06-19 15:48:26	IP Address	134.48.163.210	100.0	3277.0	True	2019-06-19 15:48:26	R_1GJykBYz6mLfuG5					43.0388946533	-87.90650177	anonymous	EN	32.0	9.0	1.0	5.0	14.0	7.0	2.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Frustration	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very unfamiliar	Neither well nor poorly	Somewhat well	Somewhat well	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	21.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Part-time employment	Government (including law enforcement)		Less than $25,000	Yes	No	Yes	Agree	Agree	3.0	Somewhat Libertarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
29	30	34	2	tech	gaussian	0.005	euclidean	12	15	60	80	gaussian	0.005	euclidean	10	15	20	25	gaussian	0.005	euclidean	7	10	15	25	2019-06-18 10:59:45	2019-06-19 10:56:31	IP Address	134.48.162.239	100.0	86205.0	True	2019-06-19 10:56:31	R_1kHA3JGi0mkZRVT					43.0388946533	-87.90650177	anonymous	EN	34.0	8.0	1.0	0.0	14.0	8.0	0.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Physical Demand	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very familiar	Somewhat poorly	Somewhat poorly	Somewhat well	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	20.0	Yes	White		Female		Currently enrolled in college	Unmarried/Single	Part-time employment	Non-profit, tax-exempt, or charitable organization		Less than $25,000	Yes	Yes	Yes	Agree	Somewhat agree	4.0	Neutral	Somewhat fiscally Liberal	Positive	1.0	0.0	Unknown
30	31	37	1	none	gaussian	0.005	euclidean	30	45	45	55	gaussian	0.005	euclidean	20	30	8	12	gaussian	0.005	euclidean	35	50	15	25	2019-06-19 16:30:38	2019-06-19 16:59:03	IP Address	134.48.163.210	100.0	1704.0	True	2019-06-19 16:59:03	R_3scqfgmHXlKXP1y					43.0388946533	-87.90650177	anonymous	EN	37.0	3.0	0.0	1.0	8.0	4.0	12.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Somewhat poorly	Somewhat poorly	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	21.0	No	South Asian		Female		Currently enrolled in college	Unmarried/Single	Student	Not currently employed		$100,000 to $149,999	No	No	No	Somewhat agree	Agree	2.0	Somewhat Libertarian	Neutral	Neutral	0.0	0.0	Unknown
31	32	38	1	none	gaussian	0.005	euclidean	15	25	10	20	gaussian	0.005	euclidean	8	25	10	15	gaussian	0.005	euclidean	10	17	5	13	2019-06-19 14:00:34	2019-06-19 14:32:25	IP Address	134.48.163.210	100.0	1910.0	True	2019-06-19 14:32:25	R_1KpVGi6aKQnFcId					43.0388946533	-87.90650177	anonymous	EN	38.0	12.0	1.0	4.0	14.0	4.0	2.0	Mental Demand	Performance	Mental Demand	Frustration	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Frustration	Performance	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Very poorly	Neither well nor poorly	Somewhat useful	Somewhat useful	Somewhat useful	Aldermanic	20.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Part-time employment	Other (please specify)	University	$150,000 or more	Yes	Yes	No	Strongly agree	Strongly agree	5.0	Neutral	Somewhat fiscally conservative	Positive	1.0	0.0	Unknown
32	33	40	1	none	tophat	0.005	manhattan	70	80	30	35	tophat	0.005	manhattan	90	110	40	45	linear	0.01	euclidean	75	85	40	50	2019-06-20 09:51:36	2019-06-20 10:23:17	IP Address	134.48.163.210	100.0	1900.0	True	2019-06-20 10:23:17	R_1d4vf2qTsEYr65S					43.0388946533	-87.90650177	anonymous	EN	40.0	10.0	1.0	2.0	13.0	6.0	3.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Very unfamiliar	Very unfamiliar	Very poorly	Somewhat poorly	Somewhat poorly	Somewhat useless	Somewhat useless	Somewhat useless	Aldermanic	26.0	No	White		Male		Master's degree	Unmarried/Single	Unemployed	Not currently employed		Less than $25,000	No	No	No	Neither agree nor disagree	Somewhat agree	2.0	Neutral	Fiscally Liberal	Neutral	0.0	0.0	Unknown
33	34	41	1	none	gaussian	0.005	euclidean	9	11	4	5	gaussian	0.005	euclidean	8	10	4	5	gaussian	0.005	euclidean	5	7	3	4	2019-06-20 13:53:11	2019-06-20 14:39:55	IP Address	134.48.162.239	100.0	2803.0	True	2019-06-20 14:39:56	R_2PwkdfLw6Ma1zOs					43.0388946533	-87.90650177	anonymous	EN	41.0	6.0	7.0	4.0	12.0	8.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Physical Demand	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Neither well nor poorly	Somewhat well	Somewhat well	Somewhat useful	Somewhat useful	Somewhat useful	MPD	21.0	No	White		Female		Currently enrolled in college	Unmarried/Single	Full-time employment	For-profit company or business		$75,000 to $99,999	Yes	No	No	Strongly agree	Strongly agree	2.0	Somewhat Libertarian	Somewhat fiscally conservative	Negative	-1.0	0.0	Unknown
34	35	42	2	tech	gaussian	0.005	euclidean	6	9	80	105	gaussian	0.005	euclidean	4	6	80	105	gaussian	0.005	euclidean	2	5	80	105	2019-06-20 16:18:14	2019-06-20 16:40:04	IP Address	134.48.163.210	100.0	1309.0	True	2019-06-20 16:40:04	R_3nNkg92ItRCVIVu					43.0388946533	-87.90650177	anonymous	EN	42.0	12.0	2.0	1.0	18.0	16.0	3.0	Mental Demand	Performance	Performance	Temporal Demand	Mental Demand	Physical Demand	Performance	Performance	Temporal Demand	Temporal Demand	Effort	Performance	Physical Demand	Mental Demand	Temporal Demand	Very familiar	Somewhat familiar	Somewhat well	Somewhat well	Somewhat well	Somewhat useful	Somewhat useful	Very useful	MPD	21.0	No	White		Male		Currently enrolled in college	Unmarried/Single	Part-time employment	For-profit company or business		Less than $25,000	Yes	No	Yes	Strongly agree	Strongly disagree	7.0	Authoritarian	Fiscally conservative	Neutral	0.0	0.0	Unknown
35	36	43	2	tech	gaussian	0.005	euclidean	6	9	9	14	gaussian	0.005	euclidean	5	11	6	10	gaussian	0.005	euclidean	5	9	5	10	2019-06-19 11:33:32	2019-06-20 13:17:55	IP Address	134.48.162.239	100.0	92662.0	True	2019-06-20 13:17:55	R_3oGCuXo9wZ40j10					43.0388946533	-87.90650177	anonymous	EN	43.0	6.0	1.0	4.0	17.0	3.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Somewhat poorly	Very well	Somewhat well	Somewhat useless	Very useless	Neither useful nor useless	Neither	44.0	No	White		Male,Transgender male		Master's degree	Divorced	Unemployed	Not currently employed		Less than $25,000	Yes	No	Yes	Somewhat disagree	Disagree	0.0	Somewhat Libertarian	Fiscally Liberal	Neutral	0.0	0.0	Unknown
36	37	44	1	none	gaussian	0.005	euclidean	4	13	5	8	gaussian	0.005	euclidean	5	7	5	7	gaussian	0.005	euclidean	5	7	5	7	2019-06-20 14:53:50	2019-06-21 11:53:31	IP Address	134.48.162.239	100.0	75581.0	True	2019-06-21 11:53:31	R_XXFWiNwRmVrZ36V					43.0388946533	-87.90650177	anonymous	EN	44.0	10.0	0.0	0.0	16.0	1.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Very poorly	Very poorly	Somewhat well	Neither useful nor useless	Neither useful nor useless	Very useful	Neither	30.0	No	White		Male		Bachelor's degree	Unmarried/Single	Full-time employment	For-profit company or business		$35,000 to $49,999	Yes	No	Yes	Agree	Neither agree nor disagree	3.0	Somewhat Libertarian	Somewhat fiscally conservative	Positive	1.0	0.0	Unknown
37	38	47	2	tech	gaussian	0.005	euclidean	6	10	14	20	gaussian	0.005	euclidean	4	7	5	9	gaussian	0.005	euclidean	3	6	4	10	2019-06-24 14:36:21	2019-06-24 14:54:38	IP Address	134.48.162.239	100.0	1096.0	True	2019-06-24 14:54:38	R_ZftJ9HZUtgZrgc1					37.7510070801	-97.8219985962	anonymous	EN	47.0	15.0	3.0	5.0	16.0	6.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Temporal Demand	Temporal Demand	Frustration	Performance	Effort	Mental Demand	Mental Demand	Somewhat unfamiliar	Very unfamiliar	Very poorly	Neither well nor poorly	Somewhat well	Neither useful nor useless	Neither useful nor useless	Somewhat useful	MPD	22.0	No	White		Female		Bachelor's degree	Unmarried/Single	Part-time employment	For-profit company or business		$100,000 to $149,999	Yes	Yes	No	Somewhat agree	Somewhat agree	8.0	Somewhat Authoritarian	Fiscally conservative	Positive	1.0	0.0	Unknown
38	39	48	2	tech	gaussian	0.005	euclidean	15	19	8	13	gaussian	0.005	euclidean	10	13	7	9	gaussian	0.005	euclidean	16	20	6	9	2019-06-24 15:15:45	2019-06-24 15:45:59	IP Address	134.48.162.239	100.0	1813.0	True	2019-06-24 15:46:00	R_1r1YgKs88IkH0aV					37.7510070801	-97.8219985962	anonymous	EN	48.0	12.0	1.0	5.0	14.0	8.0	18.0	Mental Demand	Performance	Performance	Frustration	Effort	Frustration	Effort	Performance	Effort	Temporal Demand	Frustration	Performance	Effort	Mental Demand	Temporal Demand	Very unfamiliar	Neutral	Somewhat poorly	Neither well nor poorly	Somewhat well	Neither useful nor useless	Neither useful nor useless	Somewhat useful	Neither	23.0	No	East Asian		Female		Bachelor's degree	Unmarried/Single	Full-time employment	Other (please specify)	university	Less than $25,000	Yes	No	Yes	Agree	Strongly agree	5.0	Somewhat Libertarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
39	40	50	3	professional	gaussian	0.005	euclidean	10	15	18	25	gaussian	0.005	euclidean	6	10	6	12	gaussian	0.005	euclidean	5	7	8	12	2019-06-18 13:33:02	2019-06-18 14:40:58	IP Address	134.48.163.210	100.0	4076.0	True	2019-06-18 14:40:59	R_2COhzgiamn4FMjQ					43.0388946533	-87.90650177	anonymous	EN	50.0	3.0	1.0	1.0	12.0	1.0	1.0	Mental Demand	Frustration	Performance	Frustration	Effort	Frustration	Effort	Performance	Temporal Demand	Temporal Demand	Frustration	Temporal Demand	Effort	Mental Demand	Temporal Demand	Somewhat familiar	Neutral	Somewhat poorly	Somewhat poorly	Neither well nor poorly	Somewhat useless	Somewhat useless	Somewhat useful	Neither	30.0	No	White		Female		Currently enrolled in college	Married	Student	Non-profit, tax-exempt, or charitable organization		$50,000 to $74,999	Yes	Yes	No	Strongly agree	Agree	2.0	Somewhat Libertarian	Somewhat fiscally Liberal	Positive	1.0	0.0	Unknown
40	41	51	1	none	gaussian	0.005	euclidean	36	56	15	25	gaussian	0.005	euclidean	25	40	12	20	gaussian	0.005	euclidean	35	50	30	45	2019-06-19 09:07:13	2019-06-19 10:41:02	IP Address	134.48.163.210	100.0	5629.0	True	2019-06-19 10:41:03	R_ZKpiQsInwScKQet					43.0388946533	-87.90650177	anonymous	EN	51.0	4.0	1.0	1.0	16.0	3.0	3.0	Mental Demand	Performance	Performance	Temporal Demand	Effort	Physical Demand	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Temporal Demand	Very unfamiliar	Very unfamiliar	Somewhat poorly	Somewhat poorly	Somewhat well	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Aldermanic	21.0	No	South Asian		Male		Bachelor's degree	Unmarried/Single	Student	Not currently employed		Less than $25,000	No	No	No	Strongly agree	Somewhat agree	2.0	Somewhat Authoritarian	Fiscally Liberal	Neutral	0.0	0.0	Unknown
41	42	52	1	none	gaussian	0.005	euclidean	11	23	13	16	gaussian	0.005	euclidean	6	10	6	9	gaussian	0.005	euclidean	7	11	6	10	2019-06-21 12:02:39	2019-06-21 12:18:52	IP Address	134.48.162.239	100.0	973.0	True	2019-06-21 12:18:53	R_3HHSsgWgXfq6ZBd					43.0388946533	-87.90650177	anonymous	EN	52.0	3.0	1.0	1.0	15.0	3.0	1.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Temporal Demand	Neutral	Somewhat familiar	Somewhat well	Somewhat well	Very well	Somewhat useful	Neither useful nor useless	Somewhat useful	MPD	28.0	No	White		Male		High school diploma or GED	Unmarried/Single	Self-employed	For-profit company or business		$100,000 to $149,999	Yes	No	No	Somewhat agree	Neither agree nor disagree	7.0	Somewhat Authoritarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
42	43	53	3	professional	gaussian	0.005	euclidean	8	22	18	23	gaussian	0.005	euclidean	10	23	11	25	gaussian	0.005	euclidean	20	40	18	32	2019-07-10 09:22:34	2019-07-10 09:32:39	IP Address	134.48.160.81	100.0	604.0	True	2019-07-10 09:32:39	R_2VQjKAICmWrab7s					37.7510070801	-97.8219985962	anonymous	EN	53.0	14.0	1.0	0.0	15.0	9.0	2.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Very familiar	Somewhat familiar	Very poorly	Somewhat poorly	Somewhat poorly	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	MPD	50.0	No	Black or African American		Female		Master's degree	Divorced	Full-time employment	Other (please specify)	Higher Education (law enforcement)	$150,000 or more	Yes	Yes	No	Agree	Strongly agree	5.0	Neutral	Somewhat fiscally conservative	Negative	-1.0	0.0	Unknown
43	44	54	1	none	gaussian	0.005	euclidean	10	30	10	30	gaussian	0.005	euclidean	4	9	4	9	gaussian	0.005	euclidean	3	15	3	15	2019-07-09 10:21:13	2019-07-09 10:50:32	IP Address	134.48.16.162	100.0	1758.0	True	2019-07-09 10:50:32	R_cXWrUCNk7JYNxex					37.7510070801	-97.8219985962	anonymous	EN	54.0	10.0	0.0	10.0	10.0	1.0	0.0	Mental Demand	Performance	Performance	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Frustration	Temporal Demand	Effort	Mental Demand	Temporal Demand	Very unfamiliar	Very unfamiliar	Very poorly	Very poorly	Somewhat well	Neither useful nor useless	Neither useful nor useless	Somewhat useful	Both	52.0	No	Black or African American		Male		Some college	Unmarried/Single	Part-time employment	Other (please specify)	education	$25,000 to $34,999	Yes	No	Yes	Strongly disagree	Disagree	0.0	Libertarian	Neutral	Positive	1.0	0.0	Unknown
44	45	55	1	none	gaussian	0.005	euclidean	6	12	3	5	gaussian	0.005	euclidean	0	0	2	6	gaussian	0.005	euclidean	0	0	2	6	2019-07-08 16:06:17	2019-07-08 16:53:16	IP Address	134.48.160.81	100.0	2819.0	True	2019-07-08 16:53:17	R_1jJ2slyCmwbvqKg					37.7510070801	-97.8219985962	anonymous	EN	55.0	5.0	1.0	0.0	19.0	0.0	0.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Physical Demand	Performance	Performance	Temporal Demand	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Somewhat well	Somewhat well	Somewhat well	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Both	44.0	No	Black or African American		Male		Bachelor's degree	Married	Full-time employment	Government (including law enforcement)		$100,000 to $149,999	No	No	No	Strongly agree	Agree	8.0	Authoritarian	Somewhat fiscally conservative	Neutral	0.0	0.0	Unknown
45	46	56	1	none	gaussian	0.005	euclidean	25	30	25	30	gaussian	0.005	euclidean	15	20	15	20	gaussian	0.005	euclidean	27	30	27	30	2019-07-10 12:48:17	2019-07-10 13:22:09	IP Address	134.48.160.30	100.0	2031.0	True	2019-07-10 13:22:09	R_1r7dGSudUDkd9DF					37.7510070801	-97.8219985962	anonymous	EN	56.0	15.0	2.0	1.0	19.0	10.0	3.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Physical Demand	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very familiar	Very poorly	Somewhat well	Very well	Very useless	Very useless	Very useless	Neither	76.0	No	White		Male		Master's degree	Married	Self-employed	For-profit company or business		$50,000 to $74,999	No	No	Yes	Agree	Strongly agree	1.0	Libertarian	Fiscally Liberal	Positive	1.0	0.0	Unknown
46	47	57	1	none	gaussian	0.005	euclidean	12	12	3	5	gaussian	0.005	euclidean	5	6	3	4	gaussian	0.005	euclidean	3	5	3	4	2019-07-08 10:45:21	2019-07-08 11:12:17	IP Address	134.48.160.81	100.0	1615.0	True	2019-07-08 11:12:18	R_3e7TRKnhSbFUZMy					37.7510070801	-97.8219985962	anonymous	EN	57.0	13.0	0.0	0.0	20.0	5.0	0.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Effort	Physical Demand	Performance	Performance	Effort	Physical Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Very unfamiliar	Somewhat familiar	Somewhat well	Somewhat poorly	Somewhat well	Somewhat useful	Neither useful nor useless	Very useful	Aldermanic	25.0	Yes	Other (please specify)	Mix	Female		Bachelor's degree	Unmarried/Single	Full-time employment	Government (including law enforcement)		$35,000 to $49,999	Yes	No	No	Somewhat agree	Somewhat agree	5.0	Neutral	Neutral	Neutral	0.0	0.0	Unknown
47	48	58	1	none	gaussian	0.005	euclidean	20	50	50	100	gaussian	0.005	euclidean	20	55	20	30	gaussian	0.005	euclidean	20	45	20	35	2019-07-16 13:20:54	2019-07-16 13:55:11	IP Address	107.77.210.22	100.0	2056.0	True	2019-07-16 13:55:11	R_cIVGW53Z5h6sGLT					41.848297119099996	-87.6517028809	anonymous	EN	58.0	16.0	2.0	5.0	10.0	14.0	14.0	Mental Demand	Frustration	Performance	Frustration	Effort	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Frustration	Temporal Demand	Effort	Frustration	Mental Demand	Neutral	Neutral	Very poorly	Somewhat poorly	Somewhat poorly	Very useless	Very useless	Very useless	Neither	39.0	No	White		Male		Bachelor's degree	Married	Unemployed	Not currently employed		$50,000 to $74,999	No	No	Yes	Agree	Agree	2.0	Somewhat Authoritarian	Neutral	Positive	1.0	0.0	Unknown
48	49	59	3	professional	gaussian	0.005	euclidean	10	20	50	60	gaussian	0.005	euclidean	10	20	50	60	gaussian	0.005	euclidean	8	15	50	60	2019-07-15 14:17:18	2019-07-15 15:20:53	IP Address	134.48.161.59	100.0	3814.0	True	2019-07-15 15:20:53	R_2DTim1lRkgSqKgr					37.7510070801	-97.8219985962	anonymous	EN	59.0	3.0	0.0	1.0	15.0	2.0	2.0	Mental Demand	Performance	Performance	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Somewhat familiar	Somewhat poorly	Somewhat well	Somewhat well	Somewhat useless	Somewhat useful	Somewhat useful	MPD	30.0	No	White		Female		Bachelor's degree	Married	Full-time employment	Non-profit, tax-exempt, or charitable organization		$75,000 to $99,999	Yes	No	No	Agree	Agree	2.0	Neutral	Neutral	Negative	-1.0	0.0	Unknown
49	50	60	3	professional	gaussian	0.005	euclidean	4	6	18	24	gaussian	0.005	euclidean	4	6	14	26	gaussian	0.005	euclidean	6	8	30	38	2019-07-15 14:06:12	2019-07-15 15:12:11	IP Address	107.77.208.49	100.0	3958.0	True	2019-07-15 15:12:11	R_vVvzkDZvkzjIQYp					41.8524017334	-87.8844985962	anonymous	EN	60.0	5.0	0.0	0.0	14.0	2.0	4.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Temporal Demand	Temporal Demand	Frustration	Temporal Demand	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very unfamiliar	Somewhat poorly	Very poorly	Very poorly	Somewhat useful	Somewhat useful	Somewhat useful	MPD	38.0	Yes	White		Male		Currently enrolled in college	Married	Full-time employment	Government (including law enforcement)		$75,000 to $99,999	Yes	Yes	Yes	Strongly agree	Strongly agree	7.0	Somewhat Authoritarian	Fiscally conservative	Neutral	0.0	0.0	Unknown
50	51	61	3	professional	gaussian	0.005	euclidean	10	18	20	40	gaussian	0.005	euclidean	10	16	16	22	gaussian	0.005	euclidean	18	33	19	36	2019-07-17 11:37:19	2019-07-17 12:31:41	IP Address	134.48.163.158	100.0	3262.0	True	2019-07-17 12:31:42	R_1IB1XMDoZbu0qlC					37.7510070801	-97.8219985962	anonymous	EN	61.0	17.0	2.0	5.0	6.0	7.0	3.0	Mental Demand	Performance	Mental Demand	Frustration	Mental Demand	Frustration	Effort	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very unfamiliar	Very poorly	Somewhat poorly	Somewhat poorly	Neither useful nor useless	Neither useful nor useless	Neither useful nor useless	Neither	42.0	No	White		Female		Master's degree	Unmarried/Single	Unemployed	Not currently employed		Less than $25,000	No	Yes	Yes	Somewhat agree	Somewhat disagree	3.0	Neutral	Somewhat fiscally Liberal	Neutral	0.0	0.0	Unknown
51	52	62	3	professional	gaussian	0.005	euclidean	10	15	15	25	gaussian	0.005	euclidean	5	10	10	15	gaussian	0.005	euclidean	10	15	15	20	2019-07-31 08:33:24	2019-07-31 09:18:00	IP Address	134.48.160.203	100.0	2676.0	True	2019-07-31 09:18:01	R_2aQAgQ4Pgx1kdhp					37.7510070801	-97.8219985962	anonymous	EN	62.0	13.0	4.0	10.0	12.0	11.0	10.0	Mental Demand	Performance	Performance	Temporal Demand	Mental Demand	Frustration	Effort	Performance	Temporal Demand	Temporal Demand	Effort	Temporal Demand	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very unfamiliar	Very poorly	Very poorly	Very poorly	Somewhat useless	Somewhat useless	Somewhat useless	Neither	43.0	No	Native American or First Nations		Female		Bachelor's degree	Divorced	Full-time employment	Other (please specify)	Higher Education (law enforcement)	$75,000 to $99,999	Yes	No	No	Somewhat agree	Agree	4.0	Somewhat Authoritarian	Somewhat fiscally conservative				
52	53	64	2	tech	gaussian	0.005	euclidean	18	25	15	20	gaussian	0.005	manhattan	12	20	10	18	gaussian	0.0075	manhattan	15	22	8	12	2019-08-20 09:14:20	2019-08-20 09:42:44	IP Address	134.48.162.97	100.0	1704.0	True	2019-08-20 09:42:45	R_ueSxXxO6ErNsFc5					43.0406951904	-87.9356994629	anonymous	EN	64.0	7.0	2.0	5.0	12.0	18.0	8.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Effort	Temporal Demand	Effort	Performance	Effort	Mental Demand	Mental Demand	Somewhat familiar	Very familiar	Very poorly	Very poorly	Very poorly	Very useless	Very useless	Very useless	MPD	21.0	Yes	Central American Native, South American Native, Chicano, or Mestizo		Female		Currently enrolled in college	Unmarried/Single	Part-time employment	For-profit company or business		$25,000 to $34,999	No	Yes	Yes	Agree	Somewhat agree	2.0	Somewhat Authoritarian	Somewhat fiscally conservative				
53	54	65	2	tech	epanechnikov	0.0075	manhattan	20	40	15	25	gaussian	0.0025	euclidean	20	30	10	20	gaussian	0.0025	euclidean	5	30	5	15	2019-08-21 09:04:12	2019-08-21 09:27:00	IP Address	134.48.162.97	100.0	1367.0	True	2019-08-21 09:27:00	R_z2aotrUc0jnB1Pr					43.0406951904	-87.9356994629	anonymous	EN	65.0	5.0	1.0	1.0	17.0	2.0	0.0	Mental Demand	Performance	Mental Demand	Temporal Demand	Mental Demand	Frustration	Performance	Performance	Temporal Demand	Temporal Demand	Frustration	Temporal Demand	Effort	Frustration	Mental Demand	Very familiar	Somewhat familiar	Very well	Very well	Very well	Very useful	Very useful	Very useful	Both	22.0	No	White,Black or African American,South Asian		Male		Bachelor's degree	Unmarried/Single	Full-time employment	Non-profit, tax-exempt, or charitable organization		$25,000 to $34,999	Yes	Yes	No	Somewhat agree	Disagree	0.0	Neutral	Highly fiscally Liberal				
